user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
Engine cranks but won't start. What should I check?,"[""[vehicle_manual.txt p.2] ing)\nIgnition switch assembly\nBattery cables (4 AWG minimum)\n[Figure 1-1: Starting System Schematic] --- PAGE 2 ---\nPara 1-2: Engine Cranks But Won't "", '[vehicle_manual.txt p.11] nt Specification\nBrake Fluid Type DOT 3\nFluid Capacity 0.5 quarts\nPad Minimum Thickness 3mm (0.118"") --- PAGE 11 ---\nComponent Specification\nRotor Min', '[vehicle_manual.txt p.19] eration\nMonitor O2 sensor voltages with scan tool\nUpstream sensor: should fluctuate 0.1-0.9V rapidly --- PAGE 19 ---\nDownstream sensor: should be stea', '[vehicle_manual.txt p.3] plug from cylinder 1\nReconnect spark plug wire\nGround plug body to engine block using insulated tool --- PAGE 3 ---\nHave assistant crank engine\nObserv', '[vehicle_manual.txt p.1] --- PAGE 1 ---\nTM 9-2350 Vehicle Maintenance Manual\nDemonstration Dataset for NIC RAG System\nNOTICE: This is synthetic technical documentation created', '[vehicle_manual.txt p.26] ts body. [Safety Notice 7-B]\nStep 3: Test battery\nMeasure resting voltage: should be 12.4V or higher --- PAGE 26 ---\nPerform load test per Para 1-3.2\n']","ing) Ignition switch assembly Battery cables (4 AWG minimum) [Figure 1-1: Starting System Schematic] --- PAGE 2 --- Para 1-2: Engine Cranks But Won't Start Symptom: Engine turns over but fails to fire Probable Causes (in order of likelihood): 1. Fuel System Issue (65% probability
Source: vehicle_manual.txt p2","When engine cranks but won't start, check these in order of likelihood: (1) Fuel system - verify fuel level and pump operation, test fuel pressure at 40-50 PSI [Citation: Para 1-2.1, Table 1-1]. (2) Ignition system - test for spark at plugs [Citation: Para 1-2.3]. (3) Air intake - inspect for severe restrictions [Citation: Para 1-2]. WARNING: Fuel system under pressure, wear eye protection [Safety Notice 1-A].",,,,
What's the correct torque specification for lug nuts?,"['[vehicle_manual.txt p.24] o not remove yet [Citation: Para 7-3.1]\nStep 2: Lift vehicle\nUse jack at designated lift points only --- PAGE 24 ---\nSupport with jack stands (never w', '[vehicle_manual.txt p.9] Fluid should be between MIN and MAX marks\nLow fluid indicates leak in system [Citation: Para 3-2.1] --- PAGE 9 ---\n⚠  WARNING: Low brake fluid is emer', '[vehicle_manual.txt p.1] --- PAGE 1 ---\nTM 9-2350 Vehicle Maintenance Manual\nDemonstration Dataset for NIC RAG System\nNOTICE: This is synthetic technical documentation created', '[vehicle_manual.txt p.6] ed bearing\nBroken drive belt\n4. Radiator Blockage (10% probability)\nExternal debris blocking airflow --- PAGE 6 ---\nInternal corrosion/scale buildup\nD', '[vehicle_manual.txt p.21] sue [Citation: Para 6-4.1]\nStep 2: Test compression\nRemove all spark plugs\nDisable fuel and ignition --- PAGE 21 ---\nThread compression tester into mi', '[vehicle_manual.txt p.27] icle to fall resulting in crushing\ninjury or death. Always use jack stands rated for vehicle weight. --- PAGE 27 ---\nSafety Notice 7-B: Battery Discon']","o not remove yet [Citation: Para 7-3.1] Step 2: Lift vehicle Use jack at designated lift points only --- PAGE 24 --- Support with jack stands (never work under car on jack alone) Lift one end at a time or use 4 jack stands [Citation: Para 7-3.2] ⚠  DANGER: Never work under vehicl
Source: vehicle_manual.txt p24","Lug nuts should be torqued to 85-95 ft-lbs in a star pattern [Citation: Table 7-1, Para 7-3.3].",,,,
My temperature gauge is reading high. What could be wrong?,"['[vehicle_manual.txt p.5] 9.6V minimum\nCCA Rating 600 minimum\nLoad Test Duration 15 seconds\nReplacement Interval 48-60 months --- PAGE 5 ---\nSECTION 2: COOLING SYSTEM\nPara 2-1:', ""[vehicle_manual.txt p.2] ing)\nIgnition switch assembly\nBattery cables (4 AWG minimum)\n[Figure 1-1: Starting System Schematic] --- PAGE 2 ---\nPara 1-2: Engine Cranks But Won't "", '[vehicle_manual.txt p.19] eration\nMonitor O2 sensor voltages with scan tool\nUpstream sensor: should fluctuate 0.1-0.9V rapidly --- PAGE 19 ---\nDownstream sensor: should be stea', '[vehicle_manual.txt p.12] rive Belt Failure (40% probability)\nBelt broken or slipped off\nSeverely worn belt\nLoose belt tension --- PAGE 12 ---\n2. Alternator Failure (35% probab', '[vehicle_manual.txt p.15] , 15K mile replacement)\nFuel pressure regulator (return type)\nFuel injectors (multi-port sequential) --- PAGE 15 ---\nOperating Pressure: 40-50 PSI at ', '[vehicle_manual.txt p.26] ts body. [Safety Notice 7-B]\nStep 3: Test battery\nMeasure resting voltage: should be 12.4V or higher --- PAGE 26 ---\nPerform load test per Para 1-3.2\n']","9.6V minimum CCA Rating 600 minimum Load Test Duration 15 seconds Replacement Interval 48-60 months --- PAGE 5 --- SECTION 2: COOLING SYSTEM Para 2-1: Cooling System Overview The cooling system maintains engine temperature between 180-220°F using liquid coolant circulation. Syste
Source: vehicle_manual.txt p5","Engine overheating (gauge above 220°F) has several probable causes: (1) Low coolant level - 50% probability, check reservoir when cold [Citation: Para 2-2.1]. (2) Thermostat failure - 25% probability, test if upper hose gets hot at 195°F [Citation: Para 2-2.2]. (3) Water pump failure - 15% probability, inspect for leaks and bearing noise [Citation: Para 2-2.3]. (4) Radiator blockage - 10% probability. WARNING: Never open cooling system when hot, wait 30 minutes minimum [Safety Notice 2-A].",,,,
How do I test if my alternator is charging?,"['[vehicle_manual.txt p.14] 4-3]\nStep 2: Locate source of draw\nRemove fuses one at a time\nMonitor ammeter when each fuse removed --- PAGE 14 ---\nWhen amperage drops to normal, ci', '[vehicle_manual.txt p.12] rive Belt Failure (40% probability)\nBelt broken or slipped off\nSeverely worn belt\nLoose belt tension --- PAGE 12 ---\n2. Alternator Failure (35% probab', '[vehicle_manual.txt p.16] at door placard specification\nCorrect any low tires\nMonitor MPG for one tank [Citation: Para 5-2.1] --- PAGE 16 ---\nStep 2: Scan for diagnostic codes\n', '[vehicle_manual.txt p.25] housing cover [Citation: Para 7-4.1, Figure 7-3]\nStep 2: Inspect old filter\nHold up to light source --- PAGE 25 ---\nShould see light through filter me', '[vehicle_manual.txt p.26] ts body. [Safety Notice 7-B]\nStep 3: Test battery\nMeasure resting voltage: should be 12.4V or higher --- PAGE 26 ---\nPerform load test per Para 1-3.2\n', '[vehicle_manual.txt p.13] dlights, blower motor, rear defroster\nMaintain 2000 RPM\nVoltage should remain above 13.5V under load --- PAGE 13 ---\nIf voltage drops below 13.0V, alt']","4-3] Step 2: Locate source of draw Remove fuses one at a time Monitor ammeter when each fuse removed --- PAGE 14 --- When amperage drops to normal, circuit found Inspect components on that circuit [Citation: Para 4-3.2] Step 3: Test battery condition Fully charge battery (12.6V+ 
Source: vehicle_manual.txt p14","Test alternator charging: Connect voltmeter to battery terminals, start engine and increase RPM to 2000. Voltage should read 13.8-14.4V. Below 13.8V indicates alternator not charging. Above 14.8V indicates regulator failure - turn off engine immediately and disconnect battery [Citation: Para 4-2.2, Table 4-1]. WARNING: Overcharging above 14.8V can cause battery explosion [Safety Notice 4-A].",,,,
What does diagnostic code P0420 mean?,"['[vehicle_manual.txt p.18] PSI\nFuel Pressure (WOT) 35 PSI minimum\nPump Flow Rate 30 GPH minimum\nFilter Replacement 15,000 miles --- PAGE 18 ---\nComponent Specification\nInjector ', '[vehicle_manual.txt p.26] ts body. [Safety Notice 7-B]\nStep 3: Test battery\nMeasure resting voltage: should be 12.4V or higher --- PAGE 26 ---\nPerform load test per Para 1-3.2\n', '[vehicle_manual.txt p.22] itions Include:\nFrequent short trips (under 5 miles)\nExtreme temperatures (below 0°F or above 100°F) --- PAGE 22 ---\nDusty or off-road driving\nTrailer', '[vehicle_manual.txt p.16] at door placard specification\nCorrect any low tires\nMonitor MPG for one tank [Citation: Para 5-2.1] --- PAGE 16 ---\nStep 2: Scan for diagnostic codes\n', '[vehicle_manual.txt p.20] tep 2: Inspect MAF sensor\nRemove sensor from air intake tube\nExamine sensing element for oil or dirt --- PAGE 20 ---\nClean with MAF sensor cleaner onl', '[vehicle_manual.txt p.5] 9.6V minimum\nCCA Rating 600 minimum\nLoad Test Duration 15 seconds\nReplacement Interval 48-60 months --- PAGE 5 ---\nSECTION 2: COOLING SYSTEM\nPara 2-1:']","Alarm P0420 summary:
PSI Fuel Pressure (WOT) 35 PSI minimum Pump Flow Rate 30 GPH minimum Filter Replacement 15,000 miles --- PAGE 18 --- Component Specification Injector Resistance 12-16 ohms Tank Capacity 16 gallons SECTION 6: DIAGNOSTIC TROUBLE CODES Para 6-1: OBD-II Code Overview On-Board Diagnos
Source: vehicle_manual.txt p18","Code P0420 indicates 'Catalyst System Efficiency Below Threshold' - the catalytic converter is not operating at required efficiency [Citation: Para 6-2]. Possible causes: (1) Catalytic converter degradation (most common), (2) Oxygen sensor failure, (3) Exhaust leak before catalyst, (4) Engine running too rich [Citation: Para 6-2]. Verify by monitoring O2 sensor operation - downstream sensor should be steady around 0.45V; if it fluctuates like upstream sensor, converter has failed [Citation: Para 6-2.2].",,0.9424745280493808,,
How often should I change my oil?,"['[vehicle_manual.txt p.22] itions Include:\nFrequent short trips (under 5 miles)\nExtreme temperatures (below 0°F or above 100°F) --- PAGE 22 ---\nDusty or off-road driving\nTrailer', '[vehicle_manual.txt p.20] tep 2: Inspect MAF sensor\nRemove sensor from air intake tube\nExamine sensing element for oil or dirt --- PAGE 20 ---\nClean with MAF sensor cleaner onl', '[vehicle_manual.txt p.25] housing cover [Citation: Para 7-4.1, Figure 7-3]\nStep 2: Inspect old filter\nHold up to light source --- PAGE 25 ---\nShould see light through filter me', '[vehicle_manual.txt p.15] , 15K mile replacement)\nFuel pressure regulator (return type)\nFuel injectors (multi-port sequential) --- PAGE 15 ---\nOperating Pressure: 40-50 PSI at ', '[vehicle_manual.txt p.4] Para 1-3.1, Table 1-2]\nStep 2: Perform battery load test\nApply load equivalent to 50% of CCA rating --- PAGE 4 ---\nVoltage should remain above 9.6V fo', '[vehicle_manual.txt p.7] ner\nDispose of old coolant per environmental regulations [Citation: Para 2-3.1]\nStep 2: Flush system --- PAGE 7 ---\nClose drain plug\nFill with clean w']","itions Include: Frequent short trips (under 5 miles) Extreme temperatures (below 0°F or above 100°F) --- PAGE 22 --- Dusty or off-road driving Trailer towing Commercial use (taxi, delivery, etc.) Para 7-2: Oil and Filter Change Service Interval: Normal: 5,000 miles or 6 months Se
Source: vehicle_manual.txt p22","Oil change intervals: Normal conditions - 5,000 miles or 6 months. Severe conditions - 3,000 miles or 3 months [Citation: Para 7-2]. Severe conditions include frequent short trips under 5 miles, extreme temperatures, dusty/off-road driving, trailer towing, or commercial use [Citation: Para 7-1].",,0.25085628821723094,,
My brake pedal sinks to the floor when I hold it. Is this dangerous?,"['[vehicle_manual.txt p.8] low exact procedures. Do not attempt repairs without proper training and tools. [Safety Notice 3-\nA] --- PAGE 8 ---\nComponents:\nMaster cylinder (dual ', '[vehicle_manual.txt p.27] icle to fall resulting in crushing\ninjury or death. Always use jack stands rated for vehicle weight. --- PAGE 27 ---\nSafety Notice 7-B: Battery Discon', '[vehicle_manual.txt p.12] rive Belt Failure (40% probability)\nBelt broken or slipped off\nSeverely worn belt\nLoose belt tension --- PAGE 12 ---\n2. Alternator Failure (35% probab', '[vehicle_manual.txt p.16] at door placard specification\nCorrect any low tires\nMonitor MPG for one tank [Citation: Para 5-2.1] --- PAGE 16 ---\nStep 2: Scan for diagnostic codes\n', '[vehicle_manual.txt p.7] ner\nDispose of old coolant per environmental regulations [Citation: Para 2-3.1]\nStep 2: Flush system --- PAGE 7 ---\nClose drain plug\nFill with clean w', '[vehicle_manual.txt p.6] ed bearing\nBroken drive belt\n4. Radiator Blockage (10% probability)\nExternal debris blocking airflow --- PAGE 6 ---\nInternal corrosion/scale buildup\nD']","low exact procedures. Do not attempt repairs without proper training and tools. [Safety Notice 3- A] --- PAGE 8 --- Components: Master cylinder (dual circuit design) Brake fluid: DOT 3 specification Front disc brakes (ventilated rotors) Rear drum brakes Parking brake (mechanical 
Source: vehicle_manual.txt p8","Yes, this is a safety-critical condition. Brake pedal sinking to floor indicates probable master cylinder failure (60% probability) or external fluid leak (30% probability) [Citation: Para 3-2]. Check brake fluid level immediately - low fluid is an emergency condition [Safety Notice 3-B]. If master cylinder failure confirmed, vehicle must be towed - do not attempt to drive as brake failure can occur without warning [Safety Notice 3-C].",,,,
What's the fuel pressure supposed to be?,"['[vehicle_manual.txt p.4] Para 1-3.1, Table 1-2]\nStep 2: Perform battery load test\nApply load equivalent to 50% of CCA rating --- PAGE 4 ---\nVoltage should remain above 9.6V fo', '[vehicle_manual.txt p.15] , 15K mile replacement)\nFuel pressure regulator (return type)\nFuel injectors (multi-port sequential) --- PAGE 15 ---\nOperating Pressure: 40-50 PSI at ', ""[vehicle_manual.txt p.2] ing)\nIgnition switch assembly\nBattery cables (4 AWG minimum)\n[Figure 1-1: Starting System Schematic] --- PAGE 2 ---\nPara 1-2: Engine Cranks But Won't "", '[vehicle_manual.txt p.26] ts body. [Safety Notice 7-B]\nStep 3: Test battery\nMeasure resting voltage: should be 12.4V or higher --- PAGE 26 ---\nPerform load test per Para 1-3.2\n', '[vehicle_manual.txt p.20] tep 2: Inspect MAF sensor\nRemove sensor from air intake tube\nExamine sensing element for oil or dirt --- PAGE 20 ---\nClean with MAF sensor cleaner onl', '[vehicle_manual.txt p.21] sue [Citation: Para 6-4.1]\nStep 2: Test compression\nRemove all spark plugs\nDisable fuel and ignition --- PAGE 21 ---\nThread compression tester into mi']","Para 1-3.1, Table 1-2] Step 2: Perform battery load test Apply load equivalent to 50% of CCA rating --- PAGE 4 --- Voltage should remain above 9.6V for 15 seconds If voltage drops below 9.6V, battery failed [Citation: Para 1-3.2] Step 3: Test starter circuit Bypass starter relay 
Source: vehicle_manual.txt p4","Fuel pressure should be 40-50 PSI at idle [Citation: Table 1-1, Table 5-1]. Test using pressure gauge at fuel rail test port with key ON, engine OFF [Citation: Para 1-2.2]. Under wide-open throttle, pressure should remain above 35 PSI minimum [Citation: Table 5-1].",,,,
How do I know if my thermostat is stuck closed?,"['[vehicle_manual.txt p.6] ed bearing\nBroken drive belt\n4. Radiator Blockage (10% probability)\nExternal debris blocking airflow --- PAGE 6 ---\nInternal corrosion/scale buildup\nD', '[vehicle_manual.txt p.1] --- PAGE 1 ---\nTM 9-2350 Vehicle Maintenance Manual\nDemonstration Dataset for NIC RAG System\nNOTICE: This is synthetic technical documentation created', '[vehicle_manual.txt p.20] tep 2: Inspect MAF sensor\nRemove sensor from air intake tube\nExamine sensing element for oil or dirt --- PAGE 20 ---\nClean with MAF sensor cleaner onl', '[vehicle_manual.txt p.22] itions Include:\nFrequent short trips (under 5 miles)\nExtreme temperatures (below 0°F or above 100°F) --- PAGE 22 ---\nDusty or off-road driving\nTrailer', '[vehicle_manual.txt p.13] dlights, blower motor, rear defroster\nMaintain 2000 RPM\nVoltage should remain above 13.5V under load --- PAGE 13 ---\nIf voltage drops below 13.0V, alt', '[vehicle_manual.txt p.16] at door placard specification\nCorrect any low tires\nMonitor MPG for one tank [Citation: Para 5-2.1] --- PAGE 16 ---\nStep 2: Scan for diagnostic codes\n']","ed bearing Broken drive belt 4. Radiator Blockage (10% probability) External debris blocking airflow --- PAGE 6 --- Internal corrosion/scale buildup Diagnostic Procedure: Step 1: Check coolant level Engine must be COLD before opening pressure cap Coolant should be visible at FULL
Source: vehicle_manual.txt p6","To test thermostat: Start engine from cold and monitor upper radiator hose temperature. Hose should become hot when temperature gauge reaches 195°F (thermostat opening temperature) [Citation: Table 2-1]. If hose stays cold, thermostat is stuck closed and preventing coolant circulation [Citation: Para 2-2.2].",,0.2828349595234442,,0.0
What causes code P0171?,"['[vehicle_manual.txt p.19] eration\nMonitor O2 sensor voltages with scan tool\nUpstream sensor: should fluctuate 0.1-0.9V rapidly --- PAGE 19 ---\nDownstream sensor: should be stea', '[vehicle_manual.txt p.15] , 15K mile replacement)\nFuel pressure regulator (return type)\nFuel injectors (multi-port sequential) --- PAGE 15 ---\nOperating Pressure: 40-50 PSI at ', '[vehicle_manual.txt p.1] --- PAGE 1 ---\nTM 9-2350 Vehicle Maintenance Manual\nDemonstration Dataset for NIC RAG System\nNOTICE: This is synthetic technical documentation created', '[vehicle_manual.txt p.5] 9.6V minimum\nCCA Rating 600 minimum\nLoad Test Duration 15 seconds\nReplacement Interval 48-60 months --- PAGE 5 ---\nSECTION 2: COOLING SYSTEM\nPara 2-1:', '[vehicle_manual.txt p.16] at door placard specification\nCorrect any low tires\nMonitor MPG for one tank [Citation: Para 5-2.1] --- PAGE 16 ---\nStep 2: Scan for diagnostic codes\n', '[vehicle_manual.txt p.20] tep 2: Inspect MAF sensor\nRemove sensor from air intake tube\nExamine sensing element for oil or dirt --- PAGE 20 ---\nClean with MAF sensor cleaner onl']","Alarm P0171 summary:
eration Monitor O2 sensor voltages with scan tool Upstream sensor: should fluctuate 0.1-0.9V rapidly --- PAGE 19 --- Downstream sensor: should be steady around 0.45V If downstream sensor fluctuates like upstream, converter failed [Citation: Para 6-2.2, Figure 6-1] Step 3: Inspect
Source: vehicle_manual.txt p19","Code P0171 'System Too Lean (Bank 1)' indicates engine running with insufficient fuel or excessive air [Citation: Para 6-3]. Possible causes: (1) Vacuum leak at intake manifold or brake booster hose, (2) Mass airflow sensor contamination, (3) Weak fuel pump or clogged filter, (4) Faulty oxygen sensor, (5) Exhaust leak before O2 sensor [Citation: Para 6-3]. Diagnose by checking for vacuum leaks first (listen for hissing, spray carburetor cleaner around gaskets), then inspect MAF sensor [Citation: Para 6-3.1, Para 6-3.2].",,0.8766114108168901,,
